name,genre,developer,downloads,updatedOn,contentRating,score,scoreClass
Gunship Strike 3D,Action,Candy Mobile,"10,000,000 - 50,000,000",12 January 2017,Rated for 16+,4.2,5 (4.1 - 5.0)
Bike Racing 3D,Racing,Words Mobile,"50,000,000 - 100,000,000",15 November 2016,Rated for 3+,4.1,5 (4.1 - 5.0)
Gun Simulator,Action,Words Mobile,"5,000,000 - 10,000,000",3 January 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
Amazing Run 3D,Sports,Words Mobile,"10,000,000 - 50,000,000",7 September 2016,Rated for 7+,3.9,4 (3.1 - 4.0)
Army Sniper,Adventure,Words Mobile,"10,000,000 - 50,000,000",21 November 2013,Rated for 16+,3.9,4 (3.1 - 4.0)
Jewels Saga,Arcade,Words Mobile,"10,000,000 - 50,000,000",21 November 2016,Rated for 3+,4.5,5 (4.1 - 5.0)
Golf 3D,Sports,Words Mobile,"10,000,000 - 50,000,000",7 April 2015,Rated for 3+,3.8,4 (3.1 - 4.0)
Cooking Tycoon,Casual,Words Mobile,"1,000,000 - 5,000,000",17 August 2015,Rated for 3+,4.2,5 (4.1 - 5.0)
Mortal Blade 3D,Action,Words Mobile,"100,000 - 500,000",23 November 2016,Rated for 16+,4.3,5 (4.1 - 5.0)
100 Candy Balls 3D,Casual,Words Mobile,"1,000,000 - 5,000,000",16 June 2014,Rated for 3+,3.8,4 (3.1 - 4.0)
Reckless Moto Rider,Adventure,Words Mobile,"10,000,000 - 50,000,000",25 November 2013,Rated for 16+,4.2,5 (4.1 - 5.0)
Zombie Overkill 3D,Action,Words Mobile,"1,000,000 - 5,000,000",13 June 2016,Rated for 16+,4.1,5 (4.1 - 5.0)
Air Hockey Deluxe,Sports,Words Mobile,"10,000,000 - 50,000,000",11 August 2016,Rated for 3+,4.0,4 (3.1 - 4.0)
